upstream_regulator,logratio,type,activation_state,activation_zscore,pvalue_overlap,target_molecules,mechanistic_network
ibuprofen,NA,chemical drug,NA,-0.975,0.015,"GDF15,RAC3,SERPINA3,VEGFA",NA
GNB2,0.346,enzyme,NA,NA,0.015,"DUSP1,NR4A1,PRDM1,TSC22D3",NA
miR-4662a-5p (miRNAs w/seed UAGCCAA),NA,mature microrna,NA,0.061,0.015,"ACKR2,ACSL1,ARHGAP29,ASB5,COL11A1,CRB1,DNAJC6,DOK6,FLRT3,HIGD1A,LGR4,PLXDC1,PRKCE,SCARF1,SLC7A5,SMTNL2,SOX9,STON1,TJP2,TNFSF9,TNIK",NA
miR-511-5p (miRNAs w/seed UGUCUUU),NA,mature microrna,NA,-0.107,0.015,"ALPK3,CORIN,CXCL12,EGR3,FKBP5,FNDC5,FZD5,GFPT2,LDB2,LRRC4,LRRN1,NRXN3,P2RY14,PDPN,PIK3R3,PLXDC1,RAP2B,RAPGEF5,RGL1,SCN7A,SOX9,STEAP2",NA
miR-219b-3p (miRNAs w/seed GAAUUGC),NA,mature microrna,NA,-1.476,0.0151,"ACKR2,ANGPTL1,ARHGAP29,COL4A3,CREB5,JADE1,LHFPL2,NNMT,NR4A3,PDPN,SAMD12,STEAP2,STEAP4,TNFSF13B",NA
PKD1,0.466,ion channel,NA,0.711,0.0151,"ACSS1,AMPH,FOXO1,GLS,IL4I1,NEDD9,NNMT,P2RX7,PKNOX2,RPS6KA5",NA
miR-4446-3p (miRNAs w/seed AGGGCUG),NA,mature microrna,NA,-0.218,0.0151,"AASS,ADAM12,ADRA2A,BRCA1,C9orf3,CALCOCO2,CES3,CXCL12,DIO2,EPHB6,FAIM2,FAM107A,FAM46A,FAM63B,FGF14,FKBP5,GPRC5B,HIF3A,HMOX1,IGDCC4,KCNS1,LMF1,LMO3,LMOD1,LRRTM2,MMP15,PDZD2,PKIA,RGCC,RGS6,RND2,RSPO2,SEMA6D,SEPT4,SORT1,SSH2,SULT1C2,TMEM119,TMEM26,TMEM47,UBASH3B",NA
MED1,NA,transcription regulator,NA,NA,0.0152,"CYP24A1,EBF1,FABP4,FOXO1,LIF,PDK4,PRDM1,THBS1,TRPV6",NA
mir-21,NA,microrna,NA,0.498,0.0153,"ACTA2,CDKN2B,COL1A1,DBP,DDAH1,EGR2,ICOSLG/LOC102723996,IL12A,NPAS2,PER3,RHOB,TYMP,VCAM1",NA
miR-634 (miRNAs w/seed ACCAGCA),NA,mature microrna,NA,-0.749,0.0153,"ADAMTS1,ARHGAP42,ATP2A2,CAMK2A,CRISPLD2,CYP24A1,FAM198B,FSTL3,IGDCC4,INPP5D,JADE1,KLF6,LBH,LFNG,MORF4L2,NRXN3,OSBPL3,PDK4,PIK3R1,PLB1,PLCXD3,PRSS35,RGS6,RND2,RWDD4,SAMHD1,SCD,SEMA6D,SLC7A14,ST8SIA1,SYN2,THBS1,USP53",NA
GW501516,NA,chemical drug,NA,1.103,0.0153,"ACSL1,CYP24A1,OLAH,PDK4,SCD,THBS1,VEGFA",NA
miR-3907 (miRNAs w/seed GGUGCUC),NA,mature microrna,NA,-1.386,0.0153,"ARHGEF28,CDH4,CES3,ENPP1,FAM105A,GCNT4,GPR20,GPR37,KCNS1,KLHDC7B,LEP,LGI3,LRRTM2,MAMDC2,N4BP3,NAMPT,NKD1,NOV,PAIP2B,PCYT2,PDPN,RPS6KA5,SAT1,SORT1,ST8SIA1,SYNPO2,TENM4,THBS1,TSLP",NA
miR-3165 (miRNAs w/seed GGUGGAU),NA,mature microrna,NA,-0.316,0.0154,"ACKR4,AOX1,BDH1,CIT,G0S2,GDNF,HIGD1A,KALRN,METTL7A,MEX3A,PKNOX2,PTPN22,RAB11FIP1,RAPGEF5,RTKN2,SCARF1,SEMA3A,SYN2,TENM4,TMEM217,TSPAN11,ZHX3",NA
miR-4428 (miRNAs w/seed AAGGAGA),NA,mature microrna,NA,1.037,0.0154,"AFAP1L2,AIF1L,BLNK,CCDC34,CFLAR,COL11A1,EGR3,FAM196A,FNDC5,GALNT15,GCLM,IGDCC4,KLF9,NEIL3,OLAH,PCDHGC5,PDK4,PRDM1,PRSS35,RSPO2,RTKN2,SAMD12,SCD,SLC7A6,TNIK,VEGFA,VGLL3",NA
miR-6967-5p (and other miRNAs w/seed AGGGAGG),NA,mature microrna,NA,-0.706,0.0154,"ABAT,ACKR2,ADAM12,ADARB1,AGTRAP,AIF1L,AMOT,ARHGAP29,C20orf96,CCDC69,CITED2,CRISPLD2,DDAH1,DMC1,DNM1,ERP27,FAM107A,FBN2,FER1L6,FSTL3,GPRC5B,GPX3,HAPLN3,HIF3A,HMMR,INPP5A,ITGA10,KCNK15,LCTL,LIMS2,LRRC25,LRRTM2,METTL7A,MOB3B,NEGR1,NGF,NYNRIN,OMG,OSBPL3,PCDHGC5,PIFO,PPP1CB,RGS6,RND2,RTKN2,SAMD12,SAMD4A,SCN1B,SLC22A23,SLC6A9,STEAP4,STOM,TAGLN,TMEM217,TNFSF13B,TNFSF9",NA
miR-184 (and other miRNAs w/seed GGACGGA),NA,mature microrna,NA,0.688,0.0154,"ABAT,ADARB1,APCDD1,ARHGEF2,BDKRB2,CALCOCO2,CAMK2A,CRISPLD2,EMID1,ENC1,FGF14,KCNK15,KCNK6,KLHL42,N4BP3,RSPO2,SGCD,SLC6A9,SLC7A5",NA
miR-3177-3p (miRNAs w/seed GCACGGC),NA,mature microrna,NA,0.148,0.0154,"ABLIM1,ARMC8,ASIC2,CDH4,DCXR,EPHB3,FAM107A,FGFR2,HSPA4L,INPP5D,KALRN,LFNG,LMF1,LMO3,NR4A1,RAB11FIP4,ST8SIA1,THBS1,ULK2",NA
miR-509-5p (and other miRNAs w/seed ACUCCAG),NA,mature microrna,NA,-1.39,0.0156,"AMOT,C9orf3,CHDH,CHST7,CYTH3,DOK6,EOGT,EPHA4,FAM171B,FAM196A,FAM20A,FOXO1,GCLM,GLS,HPS5,KCNE3,NKD1,PDZD2,SLC7A6,SORL1,ST8SIA1,TRIM45,ULK2",NA
miR-876-5p (and other miRNAs w/seed GGAUUUC),NA,mature microrna,NA,-1.963,0.0156,"ADAMTS14,ASB5,AXIN2,CALCOCO2,CORIN,CREB5,EPHA5,FGD4,GALNT15,GPR63,GPRC5B,INHBB,LRRTM2,NEGR1,PDZD2,PKIA,PPP1CB,PTPN22,RNF144B,RTKN2,SOWAHA,STEAP4,SYNPO2,WASF3,ZCCHC5",NA
GATA6,NA,transcription regulator,NA,0.522,0.0156,"ACTA2,CD163,COL4A1,CRABP2,HBA1/HBA2,PPP1R14A,PRDM1,TAGLN,TGFB2,WNT2",NA
miR-18a-5p (and other miRNAs w/seed AAGGUGC),NA,mature microrna,NA,-1.141,0.0157,"ADAT2,AQP3,CCDC69,CD302,CSRNP3,DAAM2,EDA,ENC1,ENDOD1,FKBP5,FZD8,GLS,KLF6,KLHL42,LIF,MMP15,NEDD9,PDE5A,PDZD2,RPS6KA5,SLC6A6,SOWAHA,SULT1C2,TENM4,TEX2,THBS1,UBASH3B,WASF3",NA
CD3,NA,complex,NA,0.103,0.0157,"ANG,AQP3,CAMK2A,CCR1,CFLAR,CH25H,CRB1,EGR2,EGR3,GGT5,GPR37,IFIT1,IL4I1,LSP1,MAP3K8,NAMPT,NR4A1,PCYT2,PTPN22,SOCS1,SORL1,STEAP2,STOM,THBS1,TXNRD1,VEGFA",NA
miR-4786-5p (miRNAs w/seed GAGACCA),NA,mature microrna,NA,-0.697,0.0157,"ACKR2,AHCTF1,BDKRB2,CALCOCO2,CD302,CORIN,CPA4,DIO2,ENC1,FGFR2,FKBP5,FZD5,GPC2,HIF3A,INHBE,ITGA10,KCNE3,KIAA1755,KLLN,LRRC25,METTL7A,PAIP2B,RPS6KA5,SLC19A3,SSH2,ST8SIA1,TGFBR2,TRIM45,ULK2,WASF3,YPEL4,ZHX3",NA
miR-4515 (miRNAs w/seed GGACUGG),NA,mature microrna,NA,-0.947,0.0158,"ABAT,ADAT2,ADORA1,AFAP1L2,ALPK3,ARHGAP42,C1QTNF1,C9orf3,CDON,CFLAR,CSRNP3,DNM1,FOXO1,GALM,GGT5,IGDCC4,JADE1,LDB2,LGI3,LIF,MAOA,NAV3,NFIL3,PDPN,RAPGEF5,RHOB,RND2,STUM,TSLP,YIF1B",NA
miR-3118 (and other miRNAs w/seed GUGACUG),NA,mature microrna,NA,-0.662,0.0159,"ACSL1,APBB2,ARHGEF28,CALCOCO2,CDON,CENPP,CHDH,ENDOD1,FAM171B,FIBIN,FKBP5,GPAT3,ITGA10,KANK1,KCNK15,KLLN,LMOD1,MCHR1,MXRA5,NKD1,PDE5A,PDLIM5,PLB1,SAMD12,SLC14A1,SLC7A14,SLC7A6,ZCCHC6,ZNF135",NA
miR-4764-3p (miRNAs w/seed UAACUCC),NA,mature microrna,NA,0.152,0.0159,"ACOT12,ADORA1,CALCOCO2,CES3,CREB5,EPHA4,FGFR2,FLRT3,LEP,NID1,PDE5A,PDK4,RWDD4,ST8SIA1,STEAP4,SYNPO2,YIF1B",NA
miR-936 (miRNAs w/seed CAGUAGA),NA,mature microrna,NA,-0.63,0.0159,"ADARB1,CHSY3,CNIH3,DDAH1,EVI2A,FAM198B,FLRT3,GALNT15,GCNT4,GPAT3,LMO3,LRRTM2,NOG,OLAH,OSBPL3,PIFO,PLXDC1,PSAT1,PTX3,RAB11FIP1,RAP2B,TNFRSF11B,ZCCHC5",NA
THRB,NA,ligand-dependent nuclear receptor,Activated,2.414,0.0162,"ATP2A2,CCR1,FABP4,FRZB,FZD8,GCH1,MMP7,NKD1,NR4A1,PER1,WNT2",NA
miR-374c-5p (and other miRNAs w/seed UAAUACA),NA,mature microrna,NA,-1.012,0.0162,"CCDC34,CHSY3,COL4A1,EBF1,FAM63B,FGD4,GRIN2A,ING2,KLF5,KLHL42,MEX3A,MOB3B,OMD,PDLIM5,PRSS35,PTX3,RWDD4,SAMD12,SYDE2,TBX18,TRIM45,VEGFA,VGLL3",NA
JINK1/2,NA,group,NA,NA,0.0163,"FOXO1,RHOB,SCD",NA
Collagen type IV,NA,complex,NA,NA,0.0163,"ACTA2,TAGLN,THBS1",NA
FOXC1,NA,transcription regulator,NA,NA,0.0163,"FOXO1,LFNG,TSC22D1",NA
HSPA9,NA,other,NA,NA,0.0163,"CRABP2,FOXO1,NEDD9",NA
SCX,NA,other,NA,NA,0.0163,"COL1A1,COMP,SOX9",NA
UBE2I,NA,enzyme,NA,NA,0.0163,"CEBPD,SLC51B,SOX9",NA
alendronic acid,NA,chemical drug,NA,NA,0.0163,"ENPP1,EPHB3,TNFRSF11B",NA
aldosterone,NA,chemical - endogenous mammalian,NA,1.057,0.0163,"ADAMTS1,COL1A1,FABP4,FKBP5,PER1,TSC22D3,VCAM1,ZBTB16",NA
IL1RN,NA,cytokine,NA,0.788,0.0163,"ACTA2,ATF3,BDKRB1,IFI44L,KLF6,LIF,NGF,VEGFA",NA
miR-4668-3p (miRNAs w/seed AAAAUCC),NA,mature microrna,NA,0.936,0.0164,"ACVR1C,ADAM12,ADRA2A,C9orf3,ERRFI1,FAM46A,PDLIM5,PLXDC1,PPP1CB,PRKCE,SLC6A6,SLC6A9,VASH2,ZCCHC6",NA
nitrofen,NA,chemical toxicant,NA,0.0,0.0164,"AGTRAP,FGFR2,TGFBR2,VEGFA",NA
ADRB2,NA,g-protein coupled receptor,NA,-0.655,0.0164,"COL1A1,IL12A,LEP,TNFRSF11B",NA
IL23,NA,complex,NA,NA,0.0164,"ACKR2,IL12A,IL4I1,TSLP",NA
LHCGR,NA,g-protein coupled receptor,NA,NA,0.0164,"ADAMTS1,INHBB,PRKG2,TNFAIP6",NA
MAFB,NA,transcription regulator,NA,NA,0.0164,"EGR2,NUAK1,PRDM1,TAGLN",NA
miR-1299 (miRNAs w/seed UCUGGAA),NA,mature microrna,NA,-0.358,0.0167,"ADAMTS5,ADAT2,ARHGAP28,C1QTNF1,C9orf3,CFLAR,CHDH,COL4A3,DAAM2,DDAH1,EDA,EVI2A,FLRT3,GPM6B,JADE1,LMCD1,MEST,NPAS2,NYNRIN,RASEF,RCOR2,RPS6KA5,RTKN2,SIGLEC15,SMTNL2,SSH2,STC1,SYNPO2,TMEM217",NA
MYOCD,NA,transcription regulator,NA,1.662,0.0167,"ACTA2,ATP2A2,COL1A1,LMOD1,TAGLN,VEGFA",NA
N-Ac-Leu-Leu-norleucinal,NA,chemical - protease inhibitor,NA,-0.832,0.0167,"BRCA1,CAMK4,FABP4,NEDD9,PRKCE,TGFBR2",NA
miR-217-5p (and other miRNAs w/seed ACUGCAU),NA,mature microrna,NA,-0.115,0.0168,"ACOT12,ADAM12,ADAMTS5,BDKRB2,CREB5,EPHA5,FBN2,FGFR2,FOXO3,GLS,HMGB2,HMOX1,HSPA4L,KLF5,MAMDC2,MORF4L2,NEXN,PDE5A,PDPN,PLPPR4,PPP1CB,SCD,SEMA3A,SEMA6D,SLC38A2,SLC39A10,SLC6A6,ST8SIA1,SYN2,THBS1,TJP2,VGLL3,WASF3",NA
CTGF,NA,growth factor,NA,-0.692,0.0169,"ADAMTS1,ADAMTS5,CFLAR,COL1A1,NOV,SOX4,VEGFA",NA
"3,5-L-diiodothyronine",NA,chemical - endogenous mammalian,NA,NA,0.0169,"DIO2,SCD",NA
ibudilast,NA,chemical drug,NA,NA,0.0169,"GDNF,NGF",NA
kremezin,NA,chemical drug,NA,NA,0.0169,"CITED2,HMOX1",NA
ZNF384,NA,transcription regulator,NA,NA,0.0169,"COL1A1,MMP7",NA
N-propyl bromide,NA,chemical reagent,NA,NA,0.0169,"GCLM,HMOX1",NA
RNF40,NA,enzyme,NA,NA,0.0169,"CXCL12,PDK4",NA
MED12,NA,transcription regulator,NA,NA,0.0169,"CREB5,EGR2",NA
ACLY,NA,enzyme,NA,NA,0.0169,"PRDM1,SCD",NA
WNT7B,NA,other,NA,NA,0.0169,"AXIN2,VEGFA",NA
Tnfsf9,NA,other,NA,NA,0.0169,"IL12A,VCAM1",NA
CYP3A4,NA,enzyme,NA,NA,0.0169,"HMOX1,SLC51B",NA
SULF1,NA,enzyme,NA,NA,0.0169,"ADAMTS5,NOG",NA
CCDC80,NA,other,NA,NA,0.0169,"AXIN2,LEP",NA
ACTG1,0.594,other,NA,NA,0.0169,"ACTA2,TAGLN",NA
ZNF91,NA,transcription regulator,NA,NA,0.0169,"DDAH1,NEDD9",NA
mechlorethamine,NA,chemical drug,NA,NA,0.0169,"ATF3,PIK3R3",NA
aristolochic acid I,NA,chemical toxicant,NA,NA,0.0169,"HMOX1,LEP",NA
carnosol,NA,chemical - endogenous non-mammalian,NA,NA,0.0169,"GCLM,HMOX1",NA
glimepiride,NA,chemical drug,NA,NA,0.0169,"FABP4,LEP",NA
"P1,P4-Di(adenosine-5') tetraphosphate",NA,chemical - endogenous mammalian,NA,NA,0.0169,"TGFB2,THBS1",NA
miR-3126-5p (and other miRNAs w/seed GAGGGAC),NA,mature microrna,NA,0.937,0.017,"ABHD5,ADORA1,ADRA1B,ADRA2A,ANGPTL1,C1QTNF1,CCDC69,CENPP,CIDEC,COL4A4,CYTH3,DNM1,EDA,EGR2,ENC1,FAIM2,HMOX1,ICOSLG/LOC102723996,LIMS2,LRRC25,NID1,NOV,PAIP2B,POU2F2,RAB11FIP1,RGS6,SLC22A23,SLC7A5,TMEM217,TUBB,VASH2,VEGFA,WASF3",NA
INS,NA,other,NA,0.557,0.017,"AQP3,CBS/CBSL,CIDEC,FOXO1,IRS2,LEP,SCD,VEGFA",NA
miR-3920 (miRNAs w/seed CUGAUUA),NA,mature microrna,NA,-0.146,0.0172,"AMOT,ATP2A2,EPHA5,FAM171B,FGFR2,GRAMD3,KLF9,PDK4,PDLIM5,PLCXD3,ROBO1,SCN7A,SIPA1L2",NA
miR-616-3p (miRNAs w/seed GUCAUUG),NA,mature microrna,NA,0.456,0.0173,"AXIN2,CSRNP3,FER1L6,G0S2,KANK4,MYOZ2,NEDD4L,PRDM1,PRKCE,PTPN22,STON1,SYN3,SYNPO2,TBX18",NA
resveratrol,NA,chemical drug,NA,-0.197,0.0173,"ACTA2,ATF3,CFLAR,FABP4,FOXO1,FOXO3,GDF15,HMOX1,IFIT1,LEP,PDK4,TGFB2,TNFRSF11B,VCAM1",NA
miR-203b-5p (and other miRNAs w/seed AGUGGUC),NA,mature microrna,NA,-1.16,0.0173,"ADHFE1,ASB5,AXIN2,C9orf3,CES3,COL4A1,CTTNBP2,CXCL12,HRCT1,KCTD12,LBH,MMD,MTSS1,NID1,NPC1L1,PIK3R3,PRR5L,RAP2B,RWDD4,STEAP4",NA
miR-570-3p (miRNAs w/seed GAAAACA),NA,mature microrna,Inhibited,-2.263,0.0175,"ABAT,AMPH,ARHGAP28,ASB5,C10orf10,CORO2B,CTTNBP2,DMC1,DNAJC6,IRS2,KLHL42,MYOZ2,NEDD9,P2RY14,PDPN,PER3,PPP1CB,PRKAG2,ROBO1,SCN7A,SLC38A2,SYDE2,TMEM200A",NA
miR-296-3p (miRNAs w/seed AGGGUUG),NA,mature microrna,NA,-1.166,0.0177,"ADAM12,CARMIL1,COL4A4,CPM,EGR2,EPHA4,FAM46C,FER1L6,ITGA10,KLF15,MT1X,MT2A,MYO16,NEDD4L,POU2F2,RASD2,SEPT4,SPINT2,ULK2,WASF3",NA
miR-3615 (miRNAs w/seed CUCUCGG),NA,mature microrna,Activated,2.095,0.0178,"CEBPD,CORO2B,CXCL12,G0S2,GALM,KCTD12,KLHDC7B,LRRC4,MCTP1,MEX3B,MYH13,PRKCE,RGS6,S1PR1",NA
HDAC2,NA,transcription regulator,NA,-0.816,0.0178,"BRCA1,COL11A1,COMP,FAM107A,RHOB,SOX9,TAGLN,TRPC6",NA
IFNAR1,NA,transmembrane receptor,NA,NA,0.0178,"ATF3,CH25H,IL12A,LIF,SEPT4,SOCS1,THBS1,TNFSF13B",NA
miR-4522 (and other miRNAs w/seed GACUCUG),NA,mature microrna,NA,-1.51,0.0178,"ADAM12,ALOX15B,ARHGAP42,C1QTNF1,C7,CNIH3,DAPK2,DIO2,FAM107A,FAM196A,FGD4,FSTL3,GPM6B,JADE1,KANK4,KCNS1,KCTD12,OLAH,RAPGEF5,STON1,TEX2,TRIM45,WARS",NA
miR-17-2-3p (and other miRNAs w/seed CUGCACU),NA,mature microrna,NA,-1.945,0.0178,"ATP2A2,CFLAR,DIO2,EFR3B,ERRFI1,FAM171B,FGD4,FOXO1,HMGB2,KANK1,NOG,RGL1,RND1,RND2,SLC38A2,SLC7A6,STOM,TENM4,TRPV6,TSLP,VEGFA,WASF3,ZHX3",NA
ANGPT1,NA,growth factor,NA,1.98,0.018,"DUSP1,DUSP5,VCAM1,VEGFA",NA
MEN1,NA,transcription regulator,NA,0.0,0.018,"CDKN2B,FABP4,IRS2,TGFBR2",NA
histone deacetylase,NA,complex,NA,0.0,0.018,"CYP24A1,CYR61,PER1,THBS1",NA
GNB1,NA,enzyme,NA,NA,0.018,"DUSP1,NR4A1,PRDM1,TSC22D3",NA
miR-4527 (and other miRNAs w/seed GGUCUGC),NA,mature microrna,NA,-0.79,0.018,"ABHD5,ACSL1,ALPK3,CES3,CXCL12,DNAJC6,EMID1,FKBP5,FOXO3,FSTL3,MAOA,MOB3B,NAV3,NEDD9,NEGR1,OSBPL3,PDK4,PRG4,RAB11FIP4,RASD2,SAMD12,SLC22A23,SLC6A6,TMEM26,TRNP1",NA
miR-512-5p (miRNAs w/seed ACUCAGC),NA,mature microrna,NA,-1.31,0.0182,"C10orf10,C7,DAPK2,DIO2,GPRC5B,INHBB,KCNE3,KCNQ3,LMO3,LRRTM2,NFE2,PAIP2B,PRKG2,RAPGEF5,RND2,RTKN2,SCD,SEMA3A,STC1,STEAP4,STOM,SYNPO2,TMEM217",NA
miR-4512 (miRNAs w/seed AGGGCCU),NA,mature microrna,NA,0.389,0.0182,"ABHD5,ADAT2,ALPK3,ARHGAP28,BEGAIN,CALCOCO2,CARMIL1,CCDC69,CCR1,CDKN2B,CDON,CYP24A1,DOK6,DUSP23,EDA,EGR2,FAM20A,FGD4,GDNF,ICOSLG/LOC102723996,LBH,N4BP3,NKD1,PIK3R3,PKNOX2,RAP2B,RASD2,SLC16A12,SLC6A6,SMTNL2,SUN2,SYN2,TENM4,TM4SF1,TMEM26,VGLL3",NA
NFATC3,NA,transcription regulator,NA,NA,0.0183,"ACTA2,ATF3,COL1A1,EGR2,EGR3",NA
miR-585-3p (miRNAs w/seed GGGCGUA),NA,mature microrna,NA,0.595,0.0183,"DBP,EFR3B,EOGT,FLRT3,KALRN,LGI3,PER1,PIK3R3,PKD1L2,RASD2,RNF144B,STUM,SUN2,TMEM119,ZHX3,ZNF135",NA
miR-3194-3p (miRNAs w/seed GCUCUGC),NA,mature microrna,NA,-1.683,0.0184,"ABAT,ALPK3,ATF3,ATP10A,BATF3,BDKRB2,C1QTNF1,CD163,CDKN2B,CYTH3,EFR3B,ENPP1,EPHB2,FIBIN,JADE1,KANK4,LEP,LOC102724788/PRODH,N4BP3,NEK11,NKD1,NOG,PCYT2,PIFO,PLCXD3,RAB11FIP4,RPS6KA5,SLC6A6,SSH2,TEX2,TIMP4,TJP2,TRPV6,VEGFA,WFDC1,ZC2HC1C,ZDHHC23",NA
Fibrin,NA,complex,NA,NA,0.0185,"ACTA2,MYH13,TAGLN",NA
PTH1R,NA,g-protein coupled receptor,NA,NA,0.0185,"COL1A1,DUSP1,TNFRSF11B",NA
HEY1,NA,transcription regulator,NA,NA,0.0185,"ACTA2,GLS,TAGLN",NA
TERF2IP,NA,other,NA,NA,0.0185,"FAM198B,NNMT,SMTNL2",NA
Ro41-5253,NA,chemical reagent,NA,NA,0.0185,"CRABP2,FABP4,TGFB2",NA
GLP-1-(7-34)-amide,NA,chemical drug,NA,NA,0.0185,"HMOX1,NR4A1,VCAM1",NA
NR1H4,NA,ligand-dependent nuclear receptor,NA,0.852,0.0185,"ABHD5,ACSS1,ACTA2,ADH1B,DDAH1,GCLM,NPC1L1,S1PR1,SLC51B",NA
dimethyl sulfoxide,NA,chemical drug,NA,0.896,0.0186,"ADAM12,DNAJB4,FRZB,HMOX1,IRS2,PDZD2,TNFRSF11B,VCAM1",NA
miR-2115-5p (miRNAs w/seed GCUUCCA),NA,mature microrna,NA,-0.636,0.0186,"ADAT2,ARHGEF28,BRCA1,CAMK4,COL11A1,CORO2B,FKBP5,GCH1,GDNF,GPR37,INPP5A,KLF6,LEP,METTL7A,MEX3A,MOB3B,MPP3,NAV3,NEDD4L,NEK10,NGF,NUAK1,PDLIM5,PIK3R3,PLXDC1,PSAT1,RAB11FIP1,SEMA3A,SLC7A6,TMEM37,TSPAN11",NA
homocysteine,NA,chemical - endogenous mammalian,NA,-1.352,0.0187,"ATF3,CXCL12,HMOX1,LEP,VCAM1,VEGFA",NA
miR-3667-3p (miRNAs w/seed CCUUCCU),NA,mature microrna,NA,-0.107,0.0188,"ACVR1C,AIF1L,AMOT,BRCA1,CCDC69,CDKN2B,DUSP10,EVA1C,FAM20A,FAM46A,G0S2,GPR68,HMOX1,KCNK6,LEP,LFNG,LMO3,LMOD1,MXRA5,N4BP3,NPC1L1,NUAK1,OMD,PDK4,PHC2,PLCXD3,RAPGEF5,RND1,TJP2,TNFSF13B,UBASH3B,ULK2,VEGFA,ZBTB16,ZDHHC23",NA
miR-3688-3p (and other miRNAs w/seed AUGGAAA),NA,mature microrna,NA,0.14,0.0188,"ABCA10,ACVR1C,ADAMTS1,AMOT,CLIC2,COL4A4,ENPP1,KCNQ3,LDB2,LRRC17,PDE5A,PKIA,PLCXD3,SAMD12,SLC38A2,STEAP2,STOM,TJP2,TMEM26,TRNP1",NA
miR-766-3p (miRNAs w/seed CUCCAGC),NA,mature microrna,NA,-0.767,0.0191,"ACKR2,ACSL1,ADAMTS14,AFAP1L1,ALPK3,AMOT,BDKRB2,C9orf3,CCDC69,CHST7,ENC1,EOGT,ERRFI1,FAIM2,FAM46C,FAM63B,FRZB,IRS2,KCNK6,KIAA1755,KLF15,KLF6,METTL7A,MFGE8,N4BP3,NEDD9,NYNRIN,OSBPL3,P2RX7,PHC2,PIK3R1,RAB11FIP1,RND2,RNF144B,RSPO2,SOCS1,SORL1,ST8SIA1,TMEM200A,TRIM45",NA
miR-219a-1-3p (miRNAs w/seed GAGUUGA),NA,mature microrna,NA,-1.856,0.0192,"ACVR1C,ANXA4,COL11A1,FAM20A,GCH1,KCNS1,MAOA,NCOA3,NR4A3,PDZD2,PTPN22,SCD,SLC14A1,USP53,WASF3,ZDHHC23",NA
POR,NA,enzyme,NA,1.342,0.0193,"ACSL1,APCDD1,BATF3,BDH1,GADD45B,HMOX1,PDK4,SCD,SERPINA3,VEGFA",NA
miR-658 (miRNAs w/seed GCGGAGG),NA,mature microrna,NA,-0.568,0.0194,"ABLIM1,BDH1,C7,CDON,CORO6,DBP,EPHB6,FAM107A,GGT5,HIF3A,LIMS2,LRRC25,MYADM,NYNRIN,OSBPL3,RAP2B,RASD2,SLC7A5,SMTNL2,SORT1,STOM,TNIK,WARS,YIF1B,YPEL4",NA
miR-1204 (miRNAs w/seed CGUGGCC),NA,mature microrna,NA,-0.125,0.0194,"AMOT,AP1M1,ARSI,ASIC2,C7,CENPP,COL1A1,CRISPLD2,CYR61,EPHB2,FAIM2,GPX3,INPP5A,KCNK15,RASSF7,RHOJ,RND1,SLC19A3,SLC7A14,STEAP2,TSC22D3,WNT2",NA
miR-3158-3p (miRNAs w/seed AGGGCUU),NA,mature microrna,NA,-0.491,0.0195,"AASS,ADAMTS14,ALPK3,BDKRB2,BRCA1,COL4A3,DIO2,FNDC5,GFPT2,IGDCC4,KLF9,KLHL42,LRRTM2,MAOA,MCTP1,NEDD4L,NEGR1,NKD1,PLCXD3,RND2,RTKN2,RWDD4,SEPT4,SGCD,SLC39A10,SORL1,TMEM47,ZCCHC6",NA
Sn50 peptide,NA,chemical toxicant,NA,0.555,0.0195,"HMOX1,MMP7,STC1,TYMP,VCAM1",NA
TSC22D3,2.746,transcription regulator,NA,1.0,0.0196,"COL1A1,DUSP1,EGR2,EGR3",NA
NOS3,NA,enzyme,NA,0.987,0.0196,"ATF3,CXCL12,PDE5A,VCAM1",NA
HDAC6,NA,transcription regulator,NA,-1.067,0.0196,"ADAMTS1,COL1A1,NOG,TAGLN",NA
miR-4697-3p (miRNAs w/seed GUCAGUG),NA,mature microrna,NA,-0.673,0.0197,"AHCTF1,AMOT,APBB2,ATP10A,CCDC71L,CCR1,CD163,FAM198B,FAM43A,FZD8,GPM6B,GPRC5B,HSPA4L,MMD,PDE5A,PIK3R3,PLA2G4A,PLXDC1,SGCD,SLC7A5,SORBS1,SOX9,TSLP,TXNRD1",NA
miR-323b-3p (miRNAs w/seed CCAAUAC),NA,mature microrna,NA,-1.606,0.0198,"ADAMTS1,CYR61,ERRFI1,FGF14,GPC2,NCOA3,NID1,NPAS2,OSBPL3,PDLIM5,PIFO,TCEAL4,TMEM200A,ULK2",NA
Histone h3,NA,group,NA,NA,0.0199,"ADRA1B,CDKN2B,CFLAR,DUSP10,EPHB3,FABP4,FGFR2,GCNT4,HSPB3,NKD1,NOG,PRDM1,RSPO1,SCD,STOM,TAGLN,TGFBR2,VEGFA",NA
SOX4,-2.128,transcription regulator,NA,-0.711,0.02,"AIF1L,EVI2A,KANK1,MARCKSL1,MEX3A,NOV,NUAK1,SORT1,TENM4,TUBA1A",NA
